Feature,Importance
Pixel_202,0.00083670946
Pixel_610,0.0008256201
Pixel_227,0.0008254172
Pixel_217,0.00082228024
Pixel_371,0.0008171847
Pixel_516,0.0008144295
Pixel_569,0.0008134304
Pixel_247,0.0008107271
Pixel_331,0.00080654403
Pixel_485,0.00080603495
Pixel_318,0.0007944954
Pixel_218,0.0007928543
Pixel_287,0.0007886569
Pixel_183,0.00078439916
Pixel_473,0.00078075595
Pixel_403,0.0007793626
Pixel_422,0.00077348936
Pixel_415,0.00077290245
Pixel_542,0.00076834677
Pixel_229,0.0007654914
Pixel_715,0.00075817003
Pixel_675,0.00075770874
Pixel_263,0.00075348857
Pixel_379,0.00074836065
Pixel_357,0.0007444852
Pixel_557,0.0007332747
Pixel_366,0.000729229
Pixel_637,0.00072492176
Pixel_191,0.00072461914
Pixel_633,0.00071467244
Pixel_539,0.0006995687
Pixel_460,0.00069908286
Pixel_108,0.0006969608
Pixel_510,0.0006934023
Pixel_231,0.0006907652
Pixel_361,0.00068974955
Pixel_312,0.00068702607
Pixel_550,0.00068445905
Pixel_390,0.0006760623
Pixel_462,0.00067429047
Pixel_547,0.00067302486
Pixel_398,0.0006728358
Pixel_153,0.00066755275
Pixel_541,0.00066455756
Pixel_719,0.00066418236
Pixel_304,0.00065956387
Pixel_655,0.0006577304
Pixel_275,0.0006535777
Pixel_155,0.00065205485
Pixel_624,0.00064910576
Pixel_356,0.0006485339
Pixel_665,0.0006469691
Pixel_134,0.00063167186
Pixel_122,0.000619222
Pixel_102,0.0006151046
Pixel_545,0.0006133376
Pixel_527,0.00061323046
Pixel_431,0.00060683215
Pixel_188,0.00060281577
Pixel_295,0.0006021561
Pixel_322,0.00060080085
Pixel_260,0.0006000761
Pixel_576,0.00059145864
Pixel_592,0.00059019326
Pixel_667,0.00058787054
Pixel_498,0.00057924434
Pixel_347,0.00057757745
Pixel_210,0.0005765262
Pixel_348,0.00057534303
Pixel_424,0.0005746947
Pixel_410,0.0005736621
Pixel_330,0.0005694012
Pixel_428,0.000567587
Pixel_554,0.000567292
Pixel_482,0.0005659083
Pixel_660,0.0005651049
Pixel_265,0.00055864855
Pixel_714,0.00055708963
Pixel_276,0.00055290863
Pixel_388,0.00055139535
Pixel_454,0.0005510488
Pixel_237,0.0005453047
Pixel_553,0.00054075045
Pixel_604,0.0005407147
Pixel_360,0.0005397416
Pixel_695,0.00053323444
Pixel_607,0.00053079275
Pixel_213,0.000529642
Pixel_486,0.00052787183
Pixel_328,0.0005266406
Pixel_528,0.0005243668
Pixel_499,0.00052391575
Pixel_564,0.00052205886
Pixel_593,0.00052149314
Pixel_147,0.0005203369
Pixel_580,0.0005159496
Pixel_711,0.0005157714
Pixel_517,0.0005094672
Pixel_626,0.00050904887
Pixel_184,0.00050066534
Pixel_332,0.0004985052
Pixel_163,0.0004984537
Pixel_182,0.00049743865
Pixel_401,0.0004941473
Pixel_426,0.0004916588
Pixel_687,0.00049164874
Pixel_352,0.0004890747
Pixel_353,0.00048798523
Pixel_324,0.00048675138
Pixel_118,0.00048592838
Pixel_240,0.00048354114
Pixel_459,0.00048007088
Pixel_179,0.00047686632
Pixel_602,0.00047125432
Pixel_248,0.00047109855
Pixel_511,0.0004678044
Pixel_658,0.0004665695
Pixel_444,0.00046545244
Pixel_556,0.00046479277
Pixel_125,0.00046211854
Pixel_342,0.00045997268
Pixel_315,0.00045609457
Pixel_306,0.0004516726
Pixel_274,0.00045166517
Pixel_659,0.00044972252
Pixel_161,0.00044764037
Pixel_317,0.00044698187
Pixel_635,0.00044412375
Pixel_685,0.0004428361
Pixel_536,0.00043961924
Pixel_575,0.00043884772
Pixel_565,0.00043821486
Pixel_668,0.00043652466
Pixel_579,0.0004347933
Pixel_573,0.00043464743
Pixel_537,0.0004284329
Pixel_581,0.00042832323
Pixel_552,0.00042355846
Pixel_648,0.00042226937
Pixel_463,0.00042032823
Pixel_338,0.00042030442
Pixel_555,0.0004164164
Pixel_438,0.00041380562
Pixel_146,0.0004131792
Pixel_358,0.00041265768
Pixel_526,0.0004110681
Pixel_487,0.00040619352
Pixel_175,0.0004021377
Pixel_329,0.0003977376
Pixel_226,0.0003961621
Pixel_623,0.00039407305
Pixel_707,0.00039161186
Pixel_710,0.00039122853
Pixel_686,0.0003888406
Pixel_546,0.00038812988
Pixel_106,0.0003866758
Pixel_105,0.000386233
Pixel_384,0.0003844608
Pixel_577,0.0003833171
Pixel_735,0.00038303682
Pixel_416,0.00038298935
Pixel_374,0.00037892835
Pixel_380,0.00037891313
Pixel_605,0.00037890015
Pixel_400,0.00037495058
Pixel_152,0.0003725804
Pixel_199,0.0003657969
Pixel_440,0.00036543838
Pixel_158,0.00036326674
Pixel_621,0.00036224438
Pixel_185,0.00036029352
Pixel_386,0.00035859147
Pixel_603,0.0003532294
Pixel_641,0.00035263054
Pixel_173,0.00035085774
Pixel_95,0.0003491443
Pixel_120,0.0003487625
Pixel_174,0.00034816473
Pixel_159,0.00034655252
Pixel_220,0.00034555906
Pixel_373,0.00034237333
Pixel_164,0.00034211273
Pixel_411,0.00034196995
Pixel_654,0.00033641036
Pixel_713,0.00033475994
Pixel_578,0.0003343934
Pixel_548,0.00033384442
Pixel_625,0.00033206228
Pixel_270,0.0003315386
Pixel_372,0.00032627874
Pixel_136,0.00032585984
Pixel_678,0.00032246253
Pixel_683,0.0003199534
Pixel_666,0.00031993724
Pixel_630,0.000318789
Pixel_232,0.0003179584
Pixel_345,0.00031727826
Pixel_346,0.00031139576
Pixel_148,0.00031041162
Pixel_508,0.0003076637
Pixel_466,0.00030319975
Pixel_601,0.0002984721
Pixel_741,0.00029618051
Pixel_606,0.00029347153
Pixel_705,0.00029301827
Pixel_582,0.00029104244
Pixel_583,0.00029032928
Pixel_256,0.000288643
Pixel_441,0.00028717704
Pixel_261,0.0002853419
Pixel_119,0.00028401366
Pixel_341,0.00028317905
Pixel_484,0.00028026584
Pixel_130,0.00027962998
Pixel_192,0.00027896266
Pixel_437,0.00027814557
Pixel_370,0.00027652094
Pixel_151,0.000274815
Pixel_465,0.0002718207
Pixel_456,0.00027057782
Pixel_500,0.00027052418
Pixel_126,0.0002704344
Pixel_149,0.00026901162
Pixel_558,0.00026847707
Pixel_640,0.00026556564
Pixel_412,0.00026511992
Pixel_385,0.0002649232
Pixel_693,0.00025929
Pixel_154,0.00025764765
Pixel_507,0.00025230605
Pixel_468,0.000249856
Pixel_480,0.0002451831
Pixel_383,0.00024494453
Pixel_414,0.00024424857
Pixel_206,0.00024351483
Pixel_469,0.00024342068
Pixel_107,0.00024292314
Pixel_413,0.00024254112
Pixel_708,0.000241518
Pixel_344,0.00024130275
Pixel_150,0.0002403984
Pixel_172,0.00023864984
Pixel_676,0.0002355054
Pixel_496,0.00023483083
Pixel_740,0.0002343367
Pixel_128,0.00023374872
Pixel_124,0.00023340252
